"SEX"	"mage"	"grp"	"firstmar"	"pct"
1	46	"BS"	0	1.0495
1	46	"HS"	0	1.4977
1	47	"ADV"	0	1.072
1	47	"BS"	0	0.9332
1	47	"HS"	0	1.4641
1	48	"ADV"	0	1.1482
1	48	"BS"	0	0.8642
1	48	"HS"	0	1.2947
1	49	"ADV"	0	1.1364
1	49	"BS"	0	0.9738
1	49	"HS"	0	1.3667
1	50	"ADV"	0	1.019
1	50	"BS"	0	0.7161
1	50	"HS"	0	1.2151
1	51	"ADV"	0	0.7566
1	51	"BS"	0	0.7042
1	51	"HS"	0	1.269
1	52	"ADV"	0	0.8392
1	52	"BS"	0	0.7205
1	52	"HS"	0	0.9349
1	53	"ADV"	0	0.7379
1	53	"BS"	0	0.7383
1	53	"HS"	0	0.9071
1	54	"ADV"	0	0.7842
1	54	"BS"	0	0.7487
1	54	"HS"	0	0.9866
1	55	"ADV"	0	0.712
1	55	"BS"	0	0.641
1	55	"HS"	0	0.8064
1	56	"ADV"	0	0.894
1	56	"BS"	0	0.6173
1	56	"HS"	0	0.6098
1	57	"ADV"	0	0.7531
1	57	"BS"	0	0.6996
1	57	"HS"	0	0.7203
1	58	"ADV"	0	0.5555
1	58	"BS"	0	0.5793
1	58	"HS"	0	0.5329
1	59	"ADV"	0	0.6022
1	59	"BS"	0	0.4161
1	59	"HS"	0	0.5447
1	60	"ADV"	0	0.849
1	60	"BS"	0	0.4488
1	60	"HS"	0	0.4772
1	61	"ADV"	0	0.6402
1	61	"BS"	0	0.5355
1	61	"HS"	0	0.3169
1	62	"ADV"	0	0.5511
1	62	"BS"	0	0.4331
1	62	"HS"	0	0.342
1	63	"ADV"	0	0.7215
1	63	"BS"	0	0.305
1	63	"HS"	0	0.3394
1	64	"ADV"	0	0.5462
1	64	"BS"	0	0.3591
1	64	"HS"	0	0.3324
1	65	"ADV"	0	0.3512
1	65	"BS"	0	0.2784
1	65	"HS"	0	0.2818
1	66	"ADV"	0	0.4559
1	66	"BS"	0	0.1813
1	66	"HS"	0	0.288
1	67	"ADV"	0	0.3724
1	67	"BS"	0	0.3224
1	67	"HS"	0	0.2063
1	68	"ADV"	0	0.2886
1	68	"BS"	0	0.1822
1	68	"HS"	0	0.1617
1	69	"ADV"	0	0.2916
1	69	"BS"	0	0.1612
1	69	"HS"	0	0.1531
1	70	"ADV"	0	0.2207
1	70	"BS"	0	0.1241
1	70	"HS"	0	0.1947
1	71	"ADV"	0	0.1374
1	71	"BS"	0	0.0746
1	71	"HS"	0	0.1668
1	72	"ADV"	0	0.2276
1	72	"BS"	0	0.1024
1	72	"HS"	0	0.14
1	73	"ADV"	0	0.2126
1	73	"BS"	0	0.0926
1	73	"HS"	0	0.128
1	74	"ADV"	0	0.1544
1	74	"BS"	0	0.076
1	74	"HS"	0	0.1384
1	75	"ADV"	0	0.1417
1	75	"BS"	0	0.0647
1	75	"HS"	0	0.1033
1	76	"ADV"	0	0.0759
1	76	"BS"	0	0.0693
1	76	"HS"	0	0.1109
1	77	"ADV"	0	0.161
1	77	"BS"	0	0.0403
1	77	"HS"	0	0.0737
1	78	"ADV"	0	0.152
1	78	"BS"	0	0.046
1	78	"HS"	0	0.0745
1	79	"ADV"	0	0.0645
1	79	"BS"	0	0.0419
1	79	"HS"	0	0.0476
1	80	"ADV"	0	0.0861
1	80	"BS"	0	0.0493
1	80	"HS"	0	0.0557
1	81	"ADV"	0	0.1172
1	81	"BS"	0	0.0268
1	81	"HS"	0	0.0655
1	82	"ADV"	0	0.0417
1	82	"BS"	0	0.0692
1	82	"HS"	0	0.0457
1	83	"ADV"	0	0.0675
1	83	"BS"	0	0.052
1	83	"HS"	0	0.0619
1	84	"ADV"	0	0.0279
1	84	"BS"	0	0.0253
